2026-03-12 10:51:49.383 [main] INFO  com.example.ManagementApplication - Starting ManagementApplication using Java 22.0.1 with PID 11508 (E:\java\java0\Management\target\classes\production\Management started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 10:51:49.387 [main] INFO  com.example.ManagementApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-12 10:51:50.591 [main] INFO  org.springframework.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-03-12 10:51:50.611 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-12 10:51:50.612 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-03-12 10:51:50.614 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.15]
2026-03-12 10:51:50.747 [main] INFO  o.s.b.w.c.servlet.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1314 ms
2026-03-12 10:51:51.256 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 10:51:51.584 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-12 10:51:51.612 [main] INFO  org.springframework.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-03-12 10:51:51.616 [main] INFO  com.example.ManagementApplication - Started ManagementApplication in 3.505 seconds (process running for 5.061)
2026-03-12 10:53:04.331 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-12 10:53:04.333 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-12 10:53:04.345 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2026-03-12 10:53:04.409 [http-nio-8080-exec-1] INFO  com.example.controller.DeptController - 查询部门列表
2026-03-12 10:53:04.449 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-12 10:53:04.755 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7b238bd9
2026-03-12 10:53:04.758 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-12 10:53:36.968 [SpringApplicationShutdownHook] INFO  org.springframework.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-12 10:53:36.999 [tomcat-shutdown] INFO  org.springframework.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-03-12 10:53:37.007 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-03-12 10:53:37.027 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-03-12 10:54:56.755 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-03-12 10:54:56.901 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ManagementApplication for test class com.example.management.ManagementApplicationTests
2026-03-12 10:54:57.705 [main] INFO  com.example.management.ManagementApplicationTests - Starting ManagementApplicationTests using Java 22.0.1 with PID 10720 (started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 10:54:57.708 [main] INFO  com.example.management.ManagementApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-03-12 10:54:59.555 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 10:55:00.139 [main] INFO  com.example.management.ManagementApplicationTests - Started ManagementApplicationTests in 2.991 seconds (process running for 5.417)
2026-03-12 13:40:16.155 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-03-12 13:40:16.301 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ManagementApplication for test class com.example.management.ManagementApplicationTests
2026-03-12 13:40:16.991 [main] INFO  com.example.management.ManagementApplicationTests - Starting ManagementApplicationTests using Java 22.0.1 with PID 23952 (started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 13:40:16.992 [main] INFO  com.example.management.ManagementApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-03-12 13:40:18.845 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 13:40:19.325 [main] INFO  com.example.management.ManagementApplicationTests - Started ManagementApplicationTests in 2.783 seconds (process running for 5.164)
2026-03-12 13:40:28.833 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
